,S/N,Type,ABIA STATE,ADDRESS,Latitude,Longitude
,544,Daily,Tashan Bama Market,"600104, Maidu, Borno",11.81110900,13.1823900
,545,Daily,"Ngomari Market, Maiduguri","600104, Maiduguri",11.83484500,13.07838500
,546,Daily,"Biu Market, Biu","603108, Biu, Borno",10.60406000,12.20483400
,547,Daily,Bajoga Main Market Roundabout,"762102, Bajoga, Borno",10.85190300,11.43245800
,548,Daily,"Commercials Market, Maiduguri","Unnamed Rd, 600104, Maiduguri",11.82767900,13.20637800
,549,Daily,Bkoboa Market,"601101, Litawa, Borno",10.98050900,12.56735400
,550,Daily,Unnamed Market,"600211, Maiduguri, Borno",11.83692000,13.15575500
,551,Daily,Kwaya Bura Market,"603105, Dawoma, Borno",10.54925500,12.1217870
,552,Daily,Shaffa Central Market,"603106, Shaffa, Borno",10.50745300,12.3334430
,553,Daily,Kwaya Kusar Ultra Modern Market,"LGA, Gombe-Biu Rd, 603108, Biu, Borno",10.61482600,12.1956180
,554,Daily,Doro Market,"Doro Gowon Rd, 612102, Doro Gowon, Borno",13.20492700,13.840933
,555,Daily,"Baga Motor Park Market, Magameri","Maiduguri-Damasak Rd, 600282, Magumeri, Borno",11.86913900,13.12317900
,556,,"School Market, Maiduguri","600282, Maiduguri, Borno",11.84807000,13.12636600
,557,Daily,Tashan Lara Maiduguri-Labe-Kukawa Rd,"Maiduguri-Labe-Kukawa Rd, 600104, Maiduguri",11.86424200,13.16911900
,558,Daily,Modern Once Market,"Bolori 2 ward, behind barrister Bello house, 600281, Maiduguri",11.88163400,13.14533800
,,,,,,
,,,CROSS RIVERS STATE,,,
,559,Daily,Edim Otop Market,"University Satellite 540281, Calabar",4.968362000,8.355801000
,560,Daily,Akani Obio Market,"541110, Ukwa-Nkasi Cross River",5.504110000,7.968107000
,561,Daily,New Market Calabar,"W8X9+X47, Edgerly Rd, 540281, Calabar, Cross River",4.954710000,8.318255000
,562,Daily,Main Market,"13 Oche-Dore St, 562261, Ikom",6.122793000,8.759122000
,563,Daily,Marian Market,"Marian Market, Leopard Town 540281, Calabar",4.975815000,8.339551000
,564,Daily,Ibesikpo Market,"Ibesikpo Str, Edibe 540281, Calabar",4.931238000,8.312518000
,565,Daily,Okuku Market,"PQ9G+GQP, 550112, Ogbaniko, Cross River",6.720124000,8.777239000
,566,Daily,Watt Market,"540281, Calabar, Cross River",4.958144000,8.321358000
,567,Daily,8th Miles Market,"Agro Feed bus stop,8 miles, 541112, Calabar, Cross River",5.065959000,8.354099000
,568,Daily,Mbukpa Market,"Efut Abua 540281, Calabar, Cross River",4.938013000,8.316602000
,569,Daily,Sankwala Market,"J742+HFV, 552110, Sankwala, Cross River",6.612127000,9.251303000
,570,Daily,Ika Ika Oqua Market,"Leopard Town, 540281, Calabar",4.977305000,8.339149000
,571,Daily,Mami Market,"Mami Road, Eburutu barracks, Ikot Ansa, Calabar",5.294086000,8.372551000
,572,Daily,"Biko Biko Market, Ugep","543105, Ugep, Cross River",5.815310000,8.080493000
,573,Daily,New Market Calabar,"W8X9+X47, Edgerly Rd, 540281, Calabar, Cross River",4.950971000,8.31782900
,574,Daily,Goldie Market,"W8WV+94P, Goldie St, Calabar South 540281, Calabar, Cross River",4.947503000,8.343001000
,575,Daily,Bogobiri Market,"X85G+JPH, Bogoberi 540281, Calabar, Cross River",4.960242000,8.326694000
,576,Daily,"Ishibori Market, Ogoja","550101, Ogoja, Cross River",6.656506000,8.801850000
,577,Daily,Okundi Market,"551111, Okundi, Cross River",6.460155000,8.799821000
,578,Daily,Ijiman Daily Market,"543105, Ugep, Cross River",5.806481000,8.079152000
,579,Daily,Eziaha Market,"XX99+3P8, Unnamed Road, Okpoha",5.968690000,7.969210000
,580,Daily,Akamkpa Market,"542111, Akamkpa, Cross River",5.569115000,8.288439000
,581,Daily,Agoi Ibami Central Market,"P5FG+W52, 543104, Agoi Ibami, Cross River",5.725241000,8.175780000
,582,Daily,Itigidi Market,"550110, Itigidi, Cross River",5.883644000,8.021261000
,583,Daily,"Okuku Market, Ogbaniko","PQ9G+GQP, 550112, Ogbaniko, Cross River",6.719740000,8.777196000
,584,Daily,"Ugbo Market, Arochukwu","9VPM+H9J, 442101, Arochukwu, Abia",5.387487000,7.88342400
,585,Daily,"Nwakpu Market, Enyigba","544Q+QW4, 482136, Enyigba, Ebonyi",6.157683000,8.139992000
,586,Daily,"Atipa Market, Okopedi","V42G+PV6, 521106, Okopedi, Akwa Ibom",4.852697000,8.127369000
,587,Daily,NYSC Mammy Market,"V3G3+MFF, NYSC Camp Ikot Itie Idung, Nsit Atai LGA, Ikot Mkpo",5.013885000,8.014610000
,588,Daily,"Mammy Market, UUTH","5J5P+GXH, 562261, Edor Abangork, Cross River",6.525388000,8.618528000
,589,Daily,"Okundi Market, Okubushoyo","551111, Okundi, Cross River",6.442486000,8.793336000
,590,Daily,Ebom Market,"543102, Ebom, Cross river",5.850087000,7.963734000
,591,Daily,Ugep Main Market,"Abakaliki-Ugep Rd, 543105, Ugep, Cross River",5.815452000,8.08589800
,592,Morning,Egbizum Morning Market,"543105, Ugep, Cross River",5.811629000,8.078169000
,593,Daily,Ogbeti Market,"543105, Ekori, Cross River",5.884694000,8.119927000
,594,Daily,Awi Daily Market,"542110, Aya Abam, Cross River",5.247603000,8.360270000
,595,Daily,Aningeje Market,"542103, Ikot Offiong-Ekang Rd, Aningeje",5.163474000,8.515447000
,596,Daily,Akpet Central Market,"542109, Agoi Efut, Cross River",5.622640000,8.101410000
,597,Daily,Ikot Eneobong Market,"541112, Calabar",5.057996000,8.36126500
,598,Daily,Akim Market,"Akim Qua Town 540281, Calabar",4.970438000,8.340663000
,599,Daily,Atakpa Market,"Atakpa, Idim Ita 540281, Calabar",4.939832000,8.329014000
,600,Daily,Gakem Market,"Unnamed Rd, 550108, Gakem, Cross River",6.772203000,8.990600000
,601,Daily,Old Ugidi Market,"550109, Abuochicle, Cross River",6.687034000,8.883773000
,602,Daily,Udama Market,"550109,Ukpah, C/River",6.645875000,8.875062000
,603,Daily,Okuku Market,"550112, Ogbaniko, Cross River",,
,604,Daily,Okundi Market,"551111, Okundi, Cross River",7.356716000,8.459633000
,605,Daily,Ogbada Market,"QPHQ+583, 550107, Echimoga, Cross River",6.858335000,8.730073000
,606,Daily,"Okwabang Market, Eastern Boki, CRS","Ikom - Abanliko Rd, 551101, Bua Afor, Cross River",6.457801000,9.133304000
,607,Daily,Onyike Market,"VCFC+QV9, Onyike Ibilla, Oju Local Government Area, Egga",7.025227000,8.392091000
,608,Daily,Amagashi Market Square Akorshi,"H53Q+835, Ikom - Abanliko Rd, 551103, Akorshi, Cross River",6.554369000,9.188128000
,609,Daily,Okuku Market,"PQ9G+GQP, 550112, Ogbaniko, Cross River",6.719740000,8.777153000
,610,Daily,Afrekpe Market,"W477+8HR, 543105, Ekori, Cross River",5.914484000,8.113205000
,611,Daily,Idundu Market,"297W+XC6, Ifeta Bch Rd, 541102, Ebiet Okon Archibong, Cross River",5.829491000,8.286598000
,612,Daily,Daily Market,"Q35Q+GGM, Unnamed Road, 543105, Idomi, Cross River",5.785676000,8.109594000
,613,Daily,Ekori Beach Market,"W4H3+2X5 Ekori beach, 543103, Epenti, Cross River",6.279408000,8.156603000
,,,,,,
,,,DELTA STATE,,,
,614,Daily,"Main Market, Warri Sapele","Main Market, Warri Sapele",5.515498000,5.749543000
,615,Daily,Effurun Market,"P. T. I. Rd, Effurun GRA 330102, Warri, Delta",5.56333000,5.78906400
,616,Daily,Okere Market,"GPGW+W48, Okere 332104, Warri, Delta",5.528559000,5.745284000
,617,Daily,"Oyoko Market, Abavo","4568+J5J, 321102, Azuwa, Delta",6.112344000,6.165791000
,618,Daily,"Express Market, Wado City","Wado City, Ekete Inland 330103, Ovwian",5.496151000,5.796496000
,619,Daily,Ibo Market Warri,"GP7X+VV8, Agbasa 332104, Warri, Delta",5.515867000,5.750053000
,620,Daily,Mofor Market,"GR35+MWR, e,, Eket",5.51429200,5.808835000
,621,Daily,Ughelli Market,"FXXQ+HF6, 333105, Ughelli, Delta",5.502605000,5.989224000
,622,Daily,Otokutu Market,"Otokutu market, Otokutu",5.572623000,5.829959000
,623,Daily,Orogun Main Market,"J5V4+G3G, 333111, Ejeba, Delta",5.653475000,6.153600000
,624,Daily,Okwelle Market,"M684+QWG, 322104, Abbi, Delta",5.667371000,6.207298000
,625,Daily,"Pessu Market, Warri","GQ34+W83, Dawudu 332104, Warri, Delta",5.505694000,5.756065000
,626,Daily,Abraka Main Market,"Q4Q4+2HX, 320001, Abraka, Delta",5.788280000,6.106367000
,627,Daily,Karien Market,"GQM5+7Q2, Karien St, Warri 332104, Warri, Delta",5.534164000,5.7593090
,628,Daily,Jigbale Market,"Udu Rd, Ekete Inland 330103, Ovwian, Delta",5.503791000,5.79862300
,629,Daily,"Dore Market, Warri","GP7W+C69, Warri Sapele Rd, Agbasa 332104, Warri, Delta",5.514222000,5.745683000
,630,Daily,"Uvwie Modern Market, Ugbolokposo","Alegbo/Ugbolokposo road, Effurun GRA 332281",5.558754000,5.79439300
,631,Daily,Ovwian Main Market,"FQWJ+6PX, Aladja 330103, Warri, Delta",5.496800000,5.782070000
,632,Daily,Ogbeogonogo Market,"Nnebisi Road, Umuonaje 320242, Asaba, Delta",6.202410000,6.734180000
,633,Daily,Igbudu Market,"Warri 332104, Warri, Delta",5.519970000,5.759883000
,634,Daily,"Main Market, Okere","Agbasa 332104, Warri, Delta",5.514246000,5.745473000
,635,Daily,"Iyanga Market, Oleh","F634+8WC, Irri Rd, 334109, Oleh, Delta",5.454126000,6.207532000
,636,Daily,"Ekpan Market, Warri","HP8R+8RG, Tori 330102, Warri, Delta",5.566627000,5.742089000
,637,Daily,Oghara Market,"Warri-Sakpoba Road, 331101, Obromudu, Delta",5.947671000,5.692561000
,638,Daily,Okuokoko Market,"Okuokoko 330102, Warri, Delta",7.013426000,5.639330000
,639,Daily,Ekuko Agbor Market,"38P3+8W9, 321104, Ekuku Agbor, Delta",6.086815000,6.305245000
,640,Daily,Orerokpe Market,"Eku-Warri Rd, 330104, Orerokpe, Delta",5.663439000,5.896302000
,641,Daily,Egbo Uhurie Market,"GVJ8+W7F, Egbo Ekrokpe Road, Urchie",5.53673900,5.866186000
,642,Daily,Osubi Market,"HRVG+J72, Osubi Rd, Osubi 330104, Warri, Delta",5.617362000,5.824633000
,643,Daily,Ogharefe Market,"Warri-Sakpoba Road, 331107, Jikwa, Delta",5.932097000,5.660287000
,644,Daily,Uruakpa Market,"VJQW+87M, 331107, Sapele, Delta",5.889892000,5.645990000
,645,Daily,Okirighwe Market,"142 Sapele-Warri Rd, Amukpe 331107, Sapele, Delta",5.871404000,5.706805000
,646,Daily,Sapele Main Market,"13 Reclamation Rd, Sapele 342247, Sapele, Delta",5.903123000,5.676906000
,647,Daily,Ugbenu Market,"2MJF+P9J, Ogharefe Rd, 331101, Ugbenu, Delta",6.330794000,5.615675000
,648,Daily,Ughelli Market,"FXXQ+HF6, 333105, Ughelli, Delta",5.50038900,5.988894000
,649,Daily,Okpanam  Market,"6JQX+2R3, Okpanam Rd, 320108, Asaba, Delta",6.243455000,6.650251000
,650,Daily,Koko Market,"VMXM+6VQ, Sapele 331107, Sapele, Delta",5.932690000,5.687950000
,651,Daily,Udu Market,"GQ5M+QJJ, 330102, Ovwian, Delta",5.517853000,5.786493000
,652,Daily,Udu Harbour Market,"GQ7M+PGJ, Udu Rd, 330102, Warri, Delta",5.523313000,5.787866000
,653,Daily,Ekete Market,"GR35+HV2, Warri Port Expy, Ekete 330103, Warri, Delta",5.521235000,5.813435000
,654,Daily,Ubogo Market,"Ubogo Primary School, 330103, Ugbisi, Delta",5.457521000,5.834952000
,655,Daily,Azagba-Ogwashi Market,"6JX3+XXR, Asaba-Agbor Highway, 320108, Issele-Azagba, Delta",6.253306000,6.604117000
,656,Daily,Anioma Market,"6MG9+J8V, Along Asaba, Okpanam Rd, Okpanam",6.231137000,6.668034000
,657,Daily,Ukworji Market,"5GQQ+W27, Unnamed Road, 320109, Ogwashi-Ukwu, Delta",6.198114000,6.539536000
,658,Daily,Ishiagu Market,"market, Road, 320109, Ishiagu, Delta",6.038689000,6.544084000
,659,Daily,Otulu Market,"7HJ9+RCR, 320108, Otulu, Delta",8.580780000,6.606126000
,660,Daily,Igbodo Market,"79XC+XFF, Benin-Asaba Hwy, 321108, Igbodo, Delta",6.301314000,6.370881000
,661,Daily,Okwe Market,"5P8R+JP Mountain of fire, Okwe 320242, Asaba, Delta",6.252358000,6.754223000
,662,Daily,Effurun Market,"P. T. I. Rd, Effurun GRA 330102, Warri, Delta",5.566008000,5.789003000
,663,Daily,Idumuesah Main Market,"569Q+HR6, 321105, Idumuesah, Delta",6.170069000,6.239137000
,664,Daily,Aleru Market,"6649+FF, 321105, Aleru, Delta",6.213768000,6.220835000
,665,Daily,Edike Market,"755V+RF4, Isedeh St, Boji Boji 321103, Agbor, Delta",6.274481000,6.198175000
,666,Daily,Ebu-Owa International Market,"66V6+5W, Boji Boji 321103, Agbor, Delta",6.246687000,6.214494000
,667,Daily,Abraka Main Market,"Q4Q4+2HX, 320001, Abraka, Delta",5.788536000,6.106409000
,668,Daily,"Ukpogp Market, Ogwa","G637+FQ8, 310107, Ogwa Town, Edo",6.504739000,6.214889000
,669,Daily,Government Market,"HG2H+GPR, 322116, Abo, Delta",5.583733000,6.530528000
,670,Daily,Emede Main Market,"C53F+5V8, 334107, Irri, Delta",5.404145000,6.174750000
,671,Daily,"Express Market, Wado City","Wado City, Ekete Inland 330103, Ovwian",5.523747000,5.830785000
,672,Daily,Oghior Modern Market,"Ekete Inland 330103, Ovwian, Delta",5.496713000,5.797279000
,673,Daily,Iyanga Market,"F634+8WC, Irri Rd, 334109, Oleh, Delta",5.554606000,6.218188000
,674,Daily,Aviara Main Market,"C746+WF4, 334103, Aviara, Delta",5.408587000,6.261077000
,675,Daily,Okere Market,"GPGW+W48, Okere 332104, Warri, Delta",5.528260000,5.745713000
,676,Daily,Orogun Main Market,"J5V4+G3G, 333111, Ejeba, Delta",5.654500000,6.153257000
,677,Daily,Jeddo Market,"HPP6+R4X, Warri Sapele Road, Jeddo 330101, Warri, Delta",5.625436000,5.71572500
,678,Daily,Ugboroke Market,"14 Deco Rd, Warri 332104, Warri, Delta",5.567951000,5.747534000
,679,Daily,Igbudu Market,"Warri 332104, Warri, Delta",5.520013000,5.759540000
,680,Daily,Main Market Okere,"Agbasa 332104, Warri, Delta",5.513691000,5.745301000
,681,Daily,"Ugborikoko Market, Uvwie LGA","GQR7+GCM, Warri 330102, Warri, Delta",5.542155000,5.763507000
,,,,,,
,,,EDO STATE,,,
,682,Daily,Ikpoba Hill Market,"8MX6+V93, A232, 300104, Benin City, Edo",6.350867000,5.661452000
,683,Daily,"Santana Market, Benin","7JRJ+HXX, Benin Sapele Rd, Oka 300104, Benin City, Edo",6.292651000,5.632917000
,684,Daily,"Kara Market, Benin","9M9M+99G, A2, Uselu 300104, Benin City, Edo",6.369413000,5.683181000
,685,Daily,"Oka Market, Benin","338 Upper Sakponba Rd, Oka 300105, Benin City, Edo",6.291527000,5.662443000
,686,Daily,Ekiosa Market,"Second East Circular Road, Avbiama 300104, Benin City, Edo",6.32328600,5.636340000
,687,Daily,Main Market,"29 Usunobun St, Avbiama 300271, Benin City, Edo",6.415636000,5.631028000
,688,Daily,Oko Daily Market,"Kpoboyuwa Street, off, Airport Rd, Benin City",6.29798100,5.591021000
,689,Daily,Oluku Market,"FH4W+53M, Uselu 302117, Benin City, Edo",6.498507000,5.584790000
,690,Every 4 days,Useh Market,"9H8M+272, Omojuwa St, Okhokhugbo 300103, Benin City, Edo",6.366027000,5.5832800
,691,Daily,Ekpoma Market,"P4PV+PPW, Benin Auchi Rd, 310101, Akahia, Edo",6.756523000,6.146638000
,692,Daily,Ekiadoro Market,"FHVP+RGP, 302116, Ekiadoro, Edo",6.503848000,5.58691800
,693,Daily,Ikpoba Hill Market,"8MX6+V93, A232, 300104, Benin City, Edo",6.35073900,5.6610650
,694,Daily,"New Market, Benin","New Lagos Rd, Use 300102, Benin City, Edo",6.34595800,5.634326000
,695,Daily,"Mini Market, Benin","University of Ekehuan Campus, Benin, Benin City",6.338849000,5.60337300
,696,Every 5 days,Okha Market,"5JVR+J28, 300105, Benin City, Edo",6.207858000,5.646035000
,697,Daily,Tamboga Water Mello Market,"9MG8+QJ3, Upper Mission Ext, Uselu 300104, Benin City, Edo",6.378198000,5.666462000
,698,Daily,"Uchi Market, Auchi","3788+775, 312101, Auchi, Edo",7.066579000,6.266117000
,699,Daily,Busha Market,"8 Forestry Rd, Avbiama 300102, Benin City, Edo",6.336529000,5.623777000
,700,Daily,Oliha Market,"8JW5+9VM, Okhokhugbo 300102, Benin City, Edo",6.346946000,5.609969000
,701,Daily,Okpagha Market,"9PJ7+WGV, Unnamed Road, Idokpa 301112, Benin City, Edo",6.383631000,5.713726000
,702,Daily,Ekiuwa Market Junction 2nd West,"2nd west road,Ekiuwa market junction, 300102, Benin City, Edo",6.337193000,5.638509000
,703,Daily,Jattu Market,"Agenebode Road, 312101, Auchi, Edo",7.087451000,6.286336000
,704,Daily,"Agbado Market, Benin","Akpakpava Street Benin City-Ehor Rd, Avbiama 300102, Benin City, Edo",6.339808000,5.631137000
,705,Daily,Evbuotubu Market,"Evbuotubu Primary School, Okhokhugbo 300103, Benin City, Edo",6.339113000,5.571845000
,706,Daily,Aduwawa Market,"Aduwawa, Ipbaoka 300104, Benin City, Edo",6.376339000,5.655687000
,707,Daily,Uwelu Market,"Okhokhugbo 300103, Benin City, Edo",6.379426000,5.572290000
,708,Daily,Irrua Main Market,"P6P9+CXH, 310120, Irrua, Edo",6.744661000,6.224323000
,709,Daily,Ibilo Market,"Okene-Ibilo Rd, 312121, Ibilo, Edo",7.454775000,6.074952000
,710,Daily,Onumu Market,"933H+7HG, Auchi - Ekpesa Rd, 312114, Onumu, Edo",7.360339000,6.081771000
,711,Daily,Ugbor Community Market,"1 amagba Road, Ugbor Road, Benin City",6.26387900,5.606561000
,712,Daily,Uromi Main Market,"P86H+CH4, Ebele - Irrua Road, 311115, Uromi, Edo",6.712036000,6.329035000
,713,Daily,Oba Market Benin City,"1 Oba Market Rd, Use 300102, Benin City, Edo",6.335807000,5.620514000
,714,Daily,Imoga Market,"G34Q+847, 312122, Imorga, Edo",7.506801000,6.088206000
,715,Daily,Ekpedo Main Market,"C59C+5JF, 312122, Ineme Ekpe, Edo",7.41887800,6.171720000
,716,Daily,Ewo Market,"312107, Okpella, Edo",7.280480000,6.353136000
,717,Daily,Egor Community Market,"Siluko Rd, Okhokhugbo 300103, Benin City, Edo",6.380724000,5.574475000
,718,Daily,Ebelle Market,"eguare, 310109, Ebelle, Edo",6.518594000,6.222770000
,719,Daily,Iruekpen Market,"Q342+FV7, Unnamed Road, 310103, Ekpoma, Edo",6.757733000,6.052003000
,720,Every 5 days,Agbede Market,"V7C7+5HR, 312104, Agbede, Edo",6.871858000,6.263760000
,721,Daily,Ohie Market,"Old Agbor Rd, 311115, Uromi, Edo",6.704975000,6.318641000
,722,Daily,Idoa Market,"Idoa-Ukhun Road, 310103",7.398457000,6.185883000
,723,Daily,Ubiaja Market,"Market Road, 311105, Ubiaja, Edo",6.733483000,6.386248000
,724,Daily,Akhioli Market Egori,"4JC7+5J, 312107, Ivioghe, Edo",7.121672000,6.614234000
,725,Daily,Sabo Market,Sabo roundabout Owan west,7.176237000,5.99265600
,726,Daily,Ozalla Market,"R23C+2G2, 313111, Ozalla, Edo",7.040106000,6.020916000
,727,Daily,Oregbeni Market,"9M25+2MM, Agbor Highway, 300104, Benin City, Edo",6.350548000,5.659241000
,,,,,,
,,,,,,
,,,EBONYI STATE,,,
,728,Daily,Okwo Ngbo Market,"FXF4+9JW, Onuowu A state, Ngbo, Ebonyi",6.474204000,7.956420000
,729,Daily,"Eke Market, Afikpo","Ndibe-Beach Rd, 490103, Afikpo, Ebonyi",5.882437000,7.935666000
,730,Every Eke day,"Onueke Market, Amuzu","52CH+4MP, 491109, Amuzu, Ebonyi",6.172078000,8.029104000
,731,Daily,"Effium Main Market, Ngbo","F2F3+256, 481106, Ngbo, Ebonyi",6.472964000,8.003190000
,732,Every 5 days,"New Kpiri Kpiri Market, Abakaliki","83QX+4P8, Kpiri Kpiri 480106, Abakaliki, Ebonyi",6.338729000,8.099155000
,733,Daily,Eke Aba Market,"84FC+GQJ, Azuiyi Udene 480101, Abakaliki, Ebonyi",6.325072000,8.122161000
,734,Daily,Ahia Ofu Market,"83R9+383, 482101, Abakaliki, Ebonyi",6.340558000,8.068563000
,735,Daily,Nwakpu Market,"544Q+QW4, 482136, Enyigba, Ebonyi",6.15744900,8.139434000
,736,Daily,Nwofe Market,"Ugbodo-Okwaraka Road, 480102, Alibaruhu, Ebonyi",6.528187000,8.167285000
,737,Daily,Nkwagu Market,"7446+8GH, 480104, Ofe Iyiokwu, Ebonyi",6.327923000,8.121189000
,738,Daily,"Igboji Market, Eka","35G2+PW5, 482124, Eka, Ebonyi",6.105861000,8.158398000
,739,Daily,Iyuidene Market,"13 Ukwansi St, Azuiyi Udene 480101, Abakaliki, Ebonyi",6.324395000,8.121509000
,740,Daily,"Isabi Market, Abakaliki","6.325493455315782, 8.110017038698608",6.325493000,8.110017000
,741,Daily,Nwofe Market,"G45W+P6R, Ugbodo-Okwaraka Road, 480102, Abakaiki, Ebonyi",6.575777000,8.134590000
,742,Daily,Amuzu Market,"VWGX+86M, 490103, Afikpo, Ebonyi",5.939021000,7.967038000
,743,Daily,Iboko Market,"C64G+QJQ, 480109, Iboko, Ebonyi",6.407564000,8.226517000
,744,Daily,Barracks Market,"74M2+2XV, Ugep Road, 482103, Abakaliki, Ebonyi",6.283732000,8.102606000
,745,Daily,Nkwo Market Enohia-Itim ,"RWJG+X2H Ama Uke-Mgbom, Road, 490101, Amoncha, Ebonyi",5.97739400,7.876856000
,746,Daily,"Ode Market, Ntezi","Enugu - Abakaliki Rd, 481116, Ntezi, Ebonyi",6.462455000,7.916075000
,747,Daily,Abakaliki International Market,"Chukwu Rd, Azuiyi Udene 480101, Abakaliki, Ebonyi",6.308418000,8.120119000
,748,Daily,Ugwuachara Market,"84F6+6RC, Ugwuachara, Abakaliki",6.323871000,8.112355000
,749,Daily,Ishieke Market,"92PG+2X7, 481101, Ishieke, Ebonyi",6.386006000,8.027814000
,750,Daily,Ebsu Web Market,"83JG+2R9, oversea road presco campus, Abakaliki",6.3308900,8.076926000
,,,,,,
,,,EKITI STATE,,,
,751,Daily,"Mojere Market, Ado Ekiti","M64H+2VP, Opopogboro, Ado Ekiti",7.655928000,5.229930000
,752,Daily,Oja Oba Market,"54 Market Road, 360001, Ado Ekiti, Ekiti",7.622579000,5.223763000
,753,Daily,Okesha Market,"J6G9+PHM, Ado - Iworoko - Ifaki Rd, 360101, Ado Ekiti, Ekiti",7.62803400,5.218972000
,754,Daily,Ojido Market,"J68G+QP2, Ojido Street, 360001, Ado Ekiti, Ekiti",7.617684000,5.226938000
,755,Daily,Awedele Market,"J6Q4+HQ6, 360102, Ado Ekiti, Ekiti",7.639774000,5.207058000
,756,Daily,Erekesan Market,"J6CC+8R2, 360101, Ado Ekiti, Ekiti",7.621305000,5.222067000
,757,Every 5 days,"Ogbontioro Market, Emure Ekiti","CFQ6+WFH, 361104, Emure Ekiti, Ekiti",7.440712000,5.461581000
,758,Every 5 days,"Oja Oba Market, Ire Ekitit","P9VV+284, Ogbonmeta St, 370112, Ire Ekiti, Ekiti",7.74324400,5.393373000
,759,Daily,Enu Odi Market," J68M+25V, Iyere Street, 360101, Ado Ekiti, Ekiti",7.616261000,5.232830000
,760,Daily,New Agric  Olope Market,"J63J+WF9, 360101, Ado Ekiti, Ekiti",7.605591000,5.231150000
,761,Daily,"Bank Road Market, Ado Ekiti","J6J5+662, New Iyin Rd - Ado Ekiti, 360101, Ado Ekiti, Ekiti",7.631517000,5.20837000
,762,Daily,Okekere Market,"F6XJ+Q55, 361101, Ikere, Ekiti",7.499887000,5.230565000
,763,Daily,Fayose Market,"Ado - Ikere Road, 360101, Ado Ekiti, Ekiti",7.615916000,5.223110000
,764,Daily,Ado Ekiti Central Market,"Igbe, Ado Ekiti, Ekiti",7.622137000,5.224162000
,765,Daily,Iworoko Market,"P7H6+R7F, 362103, Iworoko, Ekiti",7.77898500,5.253796000
,766,Daily,Osi Market,"Q5Q4+J54, 371102, Osi, Ekiti",7.843558000,5.149416000
,767,Daily,New Market,"New Market, Road, 371103, Ifaki, Ekiti",7.795503000,5.239173000
,768,Daily,Elegberun Market,"F6XJ+C8V Ise Road, 361101, Ikere, Ekiti",7.499558000,5.230762000
,769,Daily,"Isaya Market, Omuo","QP5C+FW6, 362221, Omuo, Ekiti",7.759560000,5.722683000
,770,Daily,Oluwole Orungbe Market,"M6HJ+WF8, 360102, Ado Ekiti, Ekiti",7.681056000,5.231646000
,771,Daily,King’s Market,"Q8XG+6MX, Irona St, 370112, Oye, Ekiti",7.806109000,5.326905000
,772,Tuesday(Every 5 Days),Ijero Market,"R388+HG6, 372101, Ijero, Ekiti",7.827476000,5.068141000
,773,Daily,Irona Market,"J689+VM8, Ilawe - Ilara Mokin Road, 360101, Ado Ekiti, Ekiti",7.637252000,5.216803000
,774,Daily,Afao Market,"G63H+GX3, 361101, Ikere, Ekiti",7.53622100,5.233048000
,775,Daily,Model Market,"J67F+Q69, 360101, Ado Ekiti, Ekiti",7.615578000,5.223158000
,776,Daily,Ereja Market,"F6QJ+R27, 361101, Ikere, Ekiti",7.490168000,5.229828000
,777,Daily,Ilu Omoba Market,"PG62+W6G, 370101, Ilu Omoba, Ekiti",7.713096000,5.501066000
,778,Daily,Oja Oke Market,"Ifaki-Ido Rd, 371103, Ifaki, Ekiti",7.81749800,5.233011000
,779,Daily,Afao Market,"G63H+GX3, 361101, Ikere, Ekiti",7.515240000,5.230706000
,780,Daily,Bisi Market,"34 Oke Iyinmi St, 360101, Ado Ekiti, Ekiti",7.632375000,5.225344000
,781,Daily,Model Market,"J67F+Q69, 360101, Ado Ekiti, Ekiti",7.614982000,5.223183000
,782,Daily,"Shasha Market, Ado Ikere Rd","H629+9HJ, Aseyoristreetikere Seaworkhotel, 360101, Ikere, Ekiti",7.551770000,5.218559000
,783,Daily,Ayo Fayose Ultramodern Market,"MW2C+CGQ, 362104, Efon Alaaye, Ekiti",7.651512000,4.921620000
,784,Every 5 days,Otun Market,"372103, Otun Ekiti, Ekiti",8.019200000,5.121186000
,785,Daily,Menera Ultra Modern Market,"Q9X4+XPQ, Oju Oja, Ilupeju",7.800984000,5.357025000
,,,,,,
,,,,,,
,,,ENUGU STATE,,,
,786,Daily,Ogbete  Main Market,"Market Rd, 400102, Enugu",6.435708000,7.485068000
,787,Daily,Ogige Market,"R9XX+WF9, Ogige main market, Nsukka",6.850692000,7.398742000
,788,Daily,"New Market, Enugu","Coal Camp 400102, Enugu",6.451831000,7.478870000
,789,Daily,Gariki Market,"Gariki 400107, Enugu",6.387300000,7.49275600
,790,Daily,Old Artisan Market,"Achara 400102, Independence layout, Enugu",6.45411100,7.507600000
,791,Daily,New Artisan Market,"Independence Layout Phase II 400102, Enugu",6.454750000,7.542624000
,792,Daily,Coal  Camp Market,"35 Calabar St, Ogbete 400102, Enugu",6.43798000,7.48218500
,793,Daily,Abakpa Market,"Abakpa Market, Abakpa 400103, Enugu",6.482189000,7.516382000
,794,Daily,"Mayor Market, Agbani Rd","200 Agbani Rd, Uwani 400107, Enugu",6.409906000,7.496346000
,795,Daily,New Haven Market,"New Haven 400102, Enugu",6.46040600,7.511480000
,796,Daily,Garriki Market,"Agbani Rd, Gariki 400107, Enugu",6.38919700,7.494197000
